Symbol   Prob         -log2(P)     -log2(P)*P       Codeword                       CodeLength   AVG_Length
92       0.000031     15.0000      0.0005           100010010100011                15           0.000458
93       0.000023     15.4150      0.0004           000110111110001                15           0.000343
94       0.000050     14.2996      0.0007           01001001001001                 14           0.000694
95       0.000050     14.2996      0.0007           01001001001100                 14           0.000694
96       0.000038     14.6781      0.0006           00010010100001                 14           0.000534
97       0.000034     14.8301      0.0005           101011010110010                15           0.000515
98       0.000065     13.9125      0.0009           10001110001101                 14           0.000908
99       0.000107     13.1926      0.0014           0100111011110                  13           0.001389
100      0.000038     14.6781      0.0006           110111000100010                15           0.000572
101      0.000042     14.5406      0.0006           00010101010001                 14           0.000587
102      0.000050     14.2996      0.0007           01001001001101                 14           0.000694
103      0.000042     14.5406      0.0006           00010101010100                 14           0.000587
104      0.000038     14.6781      0.0006           110111000101110                15           0.000572
105      0.000019     15.6781      0.0003           1101110001001110               16           0.000305
106      0.000050     14.2996      0.0007           01001001001011                 14           0.000694
107      0.000046     14.4150      0.0007           00011011111001                 14           0.000641
108      0.000008     17.0000      0.0001           10001001010010110              17           0.000130
109      0.000019     15.6781      0.0003           1101110001001111               16           0.000305
110      0.000008     17.0000      0.0001           10001001010010111              17           0.000130
111      0.000008     17.0000      0.0001           10001001010000011              17           0.000130
115      0.000004     18.0000      0.0001           100000011110100010             18           0.000069
116      0.000004     18.0000      0.0001           100000011110100011             18           0.000069
118      0.000008     17.0000      0.0001           10001001010000000              17           0.000130
121      0.000011     16.4150      0.0002           0001101111110100               16           0.000183
122      0.000004     18.0000      0.0001           100010010100000010             18           0.000069
123      0.000004     18.0000      0.0001           100010010100000011             18           0.000069
124      0.000004     18.0000      0.0001           100000011110101100             18           0.000069
125      0.000004     18.0000      0.0001           100000011110101101             18           0.000069
126      0.000004     18.0000      0.0001           100010010001110000             18           0.000069
127      0.000004     18.0000      0.0001           100010010001110001             18           0.000069
129      0.000011     16.4150      0.0002           0001101111110101               16           0.000183
130      0.000004     18.0000      0.0001           100010010001110010             18           0.000069
132      0.000004     18.0000      0.0001           100010010001110011             18           0.000069
133      0.000004     18.0000      0.0001           100010010001010100             18           0.000069
134      0.000004     18.0000      0.0001           100010010001010101             18           0.000069
135      0.000008     17.0000      0.0001           11011100010010110              17           0.000130
136      0.000004     18.0000      0.0001           100000011110101110             18           0.000069
137      0.000004     18.0000      0.0001           100000011110101111             18           0.000069
138      0.000004     18.0000      0.0001           100000011110100110             18           0.000069
139      0.000004     18.0000      0.0001           100000011110100111             18           0.000069
142      0.000004     18.0000      0.0001           100011100010110000             18           0.000069
146      0.000004     18.0000      0.0001           100011100010110001             18           0.000069
149      0.000008     17.0000      0.0001           10001001000110100              17           0.000130
152      0.000004     18.0000      0.0001           100010010001010110             18           0.000069
153      0.000011     16.4150      0.0002           0001101111110111               16           0.000183
154      0.000008     17.0000      0.0001           10001001000110101              17           0.000130
155      0.000015     16.0000      0.0002           1000100100011011               16           0.000244
156      0.000034     14.8301      0.0005           100011100010111                15           0.000515
157      0.000019     15.6781      0.0003           1101110000111100               16           0.000305
158      0.000038     14.6781      0.0006           101011010110011                15           0.000572
159      0.000023     15.4150      0.0004           000110111011110                15           0.000343
160      0.000015     16.0000      0.0002           1000100101000011               16           0.000244
161      0.000023     15.4150      0.0004           000110111011111                15           0.000343
162      0.000042     14.5406      0.0006           00010010100011                 14           0.000587
163      0.000015     16.0000      0.0002           1000100100010111               16           0.000244
164      0.000027     15.1926      0.0004           010011101110001                15           0.000401
165      0.000004     18.0000      0.0001           100010010001010111             18           0.000069
166      0.000008     17.0000      0.0001           10000001111010100              17           0.000130
167      0.000008     17.0000      0.0001           10000001111010101              17           0.000130
170      0.000011     16.4150      0.0002           11011100010010111              17           0.000195
171      0.000011     16.4150      0.0002           0001101111110110               16           0.000183
172      0.000004     18.0000      0.0001           100000011110100000             18           0.000069
175      0.000008     17.0000      0.0001           10001110001011001              17           0.000130

Entropy        = 5.0682 bits
Avg Code Length = 5.1011 bits
